competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Coppa Italia,1022,2038,1837,Avellino,3,3,Sampdoria,20250817,1930
Coppa Italia,1022,1843,205,Palermo,2,1,Venezia,20250816,1930
Coppa Italia,1022,110908,110740,Catanzaro,3,0,Reggiana,20250816,1930
Coppa Italia,1022,55,111657,Udinese,2,1,Frosinone,20250816,1930
Coppa Italia,1022,112124,111811,S.S. Juve Stabia 1907,2,2,Monza,20250816,1930
Coppa Italia,1022,54,347,Torino,0,2,Lecce,20250817,1930
Coppa Italia,1022,1746,111433,Empoli,0,1,Mantova,20250816,1930
Coppa Italia,1022,1745,200,Como 1907,4,2,Pescara Calcio,20250817,1930
Coppa Italia,1022,112494,110374,Südtirol,2,1,Fiorentina,20250816,1930
Coppa Italia,1022,111434,112493,Cremonese,2,0,Carrarese Calcio 1908,20250817,1930
Coppa Italia,1022,48,113147,SSC Napoli,2,0,Virtus Entella,20250817,1930
Coppa Italia,1022,1744,110915,Modena,1,2,Cesena,20250816,1930
Coppa Italia,1022,45,206,Juventus,2,1,Hellas Verona,20250817,1930
Coppa Italia,1022,113974,110738,Spezia,2,1,Pisa,20250817,1930
Coppa Italia,1022,110912,1848,Calcio Padova,1,2,Bari,20250816,1930
Coppa Italia,1022,111974,189,Sassuolo,0,2,Bologna,20250817,1930
Coppa Italia,1022,2038,1843,Avellino,2,1,Palermo,20250924,1930
Coppa Italia,1022,110908,55,Catanzaro,3,1,Udinese,20250917,1930
Coppa Italia,1022,111811,347,Monza,1,2,Lecce,20250917,1930
Coppa Italia,1022,111433,1745,Mantova,1,3,Como 1907,20250923,1930
Coppa Italia,1022,112494,111434,Südtirol,1,4,Cremonese,20250924,1930
Coppa Italia,1022,48,110915,SSC Napoli,2,1,Cesena,20250924,1930
Coppa Italia,1022,45,113974,Juventus,2,0,Spezia,20250924,1930
Coppa Italia,1022,1848,189,Bari,1,3,Bologna,20250917,1930
Coppa Italia,1022,115845,2038,Atalanta,TBD,TBD,Avellino,20251217,2000
Coppa Italia,1022,50,347,Parma,TBD,TBD,Lecce,20251216,2000
Coppa Italia,1022,115841,1745,Lazio,TBD,TBD,Como 1907,20251216,2000
Coppa Italia,1022,52,45,AS Roma,TBD,TBD,Juventus,20251217,2000
Coppa Italia,1022,131681,110908,AC Milan,TBD,TBD,Catanzaro,20251217,2000
Coppa Italia,1022,1842,111434,Cagliari,TBD,TBD,Cremonese,20251216,2000
Coppa Italia,1022,110556,48,Genoa,TBD,TBD,SSC Napoli,20251216,2000
Coppa Italia,1022,131682,189,Inter Milan,TBD,TBD,Bologna,20251217,2000
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260203,1945
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260203,1945
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260204,1945
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260204,1945
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260303,2000
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260304,2000
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260422,2000
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260421,2000
Coppa Italia,1022,-1,-1, ,TBD,TBD, ,20260513,1945
